State,CYQ,Year,Quarter,Benefit,Benefit in a year,Benefit Rank,Average Weekly Benefit,High Benefit Date
AK,1985.3,1985,3,20588.675,110216.342,7279,60313.325,2010.1
AK,1985.4,1985,4,28585.118,116328.341,6460,60313.325,2010.1
AK,1986.1,1986,1,41527.595,120726.082,5299,60313.325,2010.1
AK,1986.2,1986,2,37727.727,128429.115,5639,60313.325,2010.1
AK,1986.3,1986,3,26826.264,134666.704,6637,60313.325,2010.1
AK,1986.4,1986,4,33615.139,139696.725,5981,60313.325,2010.1
AK,1987.1,1987,1,41349.62,139518.75,5320,60313.325,2010.1
AK,1987.2,1987,2,30735.657,132526.68,6247,60313.325,2010.1
AK,1987.3,1987,3,20474.371,126174.787,7296,60313.325,2010.1
AK,1987.4,1987,4,24744.99,117304.638,6848,60313.325,2010.1
AK,1988.1,1988,1,31356.751,107311.769,6199,60313.325,2010.1
AK,1988.2,1988,2,21678.047,98254.159,7170,60313.325,2010.1
AK,1988.3,1988,3,14328.24,92108.028,8076,60313.325,2010.1
AK,1988.4,1988,4,18950.205,86313.243,7478,60313.325,2010.1
AK,1989.1,1989,1,26808.362,81764.854,6640,60313.325,2010.1
AK,1989.2,1989,2,16424.515,76511.322,7799,60313.325,2010.1
AK,1989.3,1989,3,11166.715,73349.797,8458,60313.325,2010.1
AK,1989.4,1989,4,18344.004,72743.596,7556,60313.325,2010.1
AK,1990.1,1990,1,30969.857,76905.091,6229,60313.325,2010.1
AK,1990.2,1990,2,21863.522,82344.098,7149,60313.325,2010.1
AK,1990.3,1990,3,14371.903,85549.286,8067,60313.325,2010.1
AK,1990.4,1990,4,23449.335,90654.617,6990,60313.325,2010.1
AK,1991.1,1991,1,33781.641,93466.401,5962,60313.325,2010.1
AK,1991.2,1991,2,26860.573,98463.452,6630,60313.325,2010.1
AK,1991.3,1991,3,19750.4,103841.949,7385,60313.325,2010.1
AK,1991.4,1991,4,29386.805,109779.419,6359,60313.325,2010.1
AK,1992.1,1992,1,40489.847,116487.625,5391,60313.325,2010.1
AK,1992.2,1992,2,29367.059,118994.111,6361,60313.325,2010.1
AK,1992.3,1992,3,20705.046,119948.757,7262,60313.325,2010.1
AK,1992.4,1992,4,26794.207,117356.159,6641,60313.325,2010.1
AK,1993.1,1993,1,33258.481,110124.793,6020,60313.325,2010.1
AK,1993.2,1993,2,25467.35,106225.084,6763,60313.325,2010.1
AK,1993.3,1993,3,18142.574,103662.612,7589,60313.325,2010.1
AK,1993.4,1993,4,26492.009,103360.414,6667,60313.325,2010.1
AK,1994.1,1994,1,37252.295,107354.228,5679,60313.325,2010.1
AK,1994.2,1994,2,29311.971,111198.849,6367,60313.325,2010.1
AK,1994.3,1994,3,20346.524,113402.799,7312,60313.325,2010.1
AK,1994.4,1994,4,27799.076,114709.866,6545,60313.325,2010.1
AK,1995.1,1995,1,38474.37,115931.941,5583,60313.325,2010.1
AK,1995.2,1995,2,28353.677,114973.647,6488,60313.325,2010.1
AK,1995.3,1995,3,19273.208,113900.331,7442,60313.325,2010.1
AK,1995.4,1995,4,27538.256,113639.511,6573,60313.325,2010.1
AK,1996.1,1996,1,39850.882,115016.023,5463,60313.325,2010.1
AK,1996.2,1996,2,28222.489,114884.835,6502,60313.325,2010.1
AK,1996.3,1996,3,18919.079,114530.706,7483,60313.325,2010.1
AK,1996.4,1996,4,27053.214,114045.664,6615,60313.325,2010.1
AK,1997.1,1997,1,35973.932,110168.714,5797,60313.325,2010.1
AK,1997.2,1997,2,27983.404,109929.629,6527,60313.325,2010.1
AK,1997.3,1997,3,18749.567,109760.117,7508,60313.325,2010.1
AK,1997.4,1997,4,26248.56,108955.463,6693,60313.325,2010.1
AK,1998.1,1998,1,36335.084,109316.615,5766,60313.325,2010.1
AK,1998.2,1998,2,26776.138,108109.349,6645,60313.325,2010.1
AK,1998.3,1998,3,18455.031,107814.813,7542,60313.325,2010.1
AK,1998.4,1998,4,27181.532,108747.785,6602,60313.325,2010.1
AK,1999.1,1999,1,38903.74,111316.441,5550,60313.325,2010.1
AK,1999.2,1999,2,30649.163,115189.466,6255,60313.325,2010.1
AK,1999.3,1999,3,20615.543,117349.978,7277,60313.325,2010.1
AK,1999.4,1999,4,30102.126,120270.572,6300,60313.325,2010.1
AK,2000.1,2000,1,38509.617,119876.449,5581,60313.325,2010.1
AK,2000.2,2000,2,27825.705,117052.991,6541,60313.325,2010.1
AK,2000.3,2000,3,19520.615,115958.063,7412,60313.325,2010.1
AK,2000.4,2000,4,28927.87,114783.807,6416,60313.325,2010.1
AK,2001.1,2001,1,38721.956,114996.146,5563,60313.325,2010.1
AK,2001.2,2001,2,28385.218,115555.659,6484,60313.325,2010.1
AK,2001.3,2001,3,19014.686,115049.73,7474,60313.325,2010.1
AK,2001.4,2001,4,32266.774,118388.634,6110,60313.325,2010.1
AK,2002.1,2002,1,39281.196,118947.874,5520,60313.325,2010.1
AK,2002.2,2002,2,35279.236,125841.892,5843,60313.325,2010.1
AK,2002.3,2002,3,23736.452,130563.658,6953,60313.325,2010.1
AK,2002.4,2002,4,33612.532,131909.416,5982,60313.325,2010.1
AK,2003.1,2003,1,42053.054,134681.274,5253,60313.325,2010.1
AK,2003.2,2003,2,36102.639,135504.677,5786,60313.325,2010.1
AK,2003.3,2003,3,24064.303,135832.528,6910,60313.325,2010.1
AK,2003.4,2003,4,35552.339,137772.335,5831,60313.325,2010.1
AK,2004.1,2004,1,44533.313,140252.594,5033,60313.325,2010.1
AK,2004.2,2004,2,31903.46,136053.415,6146,60313.325,2010.1
AK,2004.3,2004,3,21163.868,133152.98,7214,60313.325,2010.1
AK,2004.4,2004,4,32779.4,130380.041,6063,60313.325,2010.1
AK,2005.1,2005,1,40745.113,126591.841,5371,60313.325,2010.1
AK,2005.2,2005,2,28628.448,123316.829,6455,60313.325,2010.1
AK,2005.3,2005,3,19215.487,121368.448,7450,60313.325,2010.1
AK,2005.4,2005,4,31058.033,119647.081,6219,60313.325,2010.1
AK,2006.1,2006,1,39846.105,118748.073,5465,60313.325,2010.1
AK,2006.2,2006,2,27415.644,117535.269,6586,60313.325,2010.1
AK,2006.3,2006,3,18261.558,116581.34,7573,60313.325,2010.1
AK,2006.4,2006,4,28398.621,113921.928,6482,60313.325,2010.1
AK,2007.1,2007,1,36904.762,110980.585,5711,60313.325,2010.1
AK,2007.2,2007,2,26221.072,109786.013,6697,60313.325,2010.1
AK,2007.3,2007,3,17183.962,108708.417,7696,60313.325,2010.1
AK,2007.4,2007,4,27801.287,108111.083,6543,60313.325,2010.1
AK,2008.1,2008,1,34351.298,105557.619,5917,60313.325,2010.1
AK,2008.2,2008,2,29669.265,109005.812,6335,60313.325,2010.1
AK,2008.3,2008,3,18291.947,110113.797,7565,60313.325,2010.1
AK,2008.4,2008,4,26424.645,108737.155,6677,60313.325,2010.1
AK,2009.1,2009,1,41504.281,115890.138,5307,60313.325,2010.1
AK,2009.2,2009,2,46650.045,132870.918,4883,60313.325,2010.1
AK,2009.3,2009,3,34377.342,148956.313,5912,60313.325,2010.1
AK,2009.4,2009,4,48839.153,171370.821,4719,60313.325,2010.1
AK,2010.1,2010,1,60313.325,190179.865,4075,60313.325,2010.1
AK,2010.2,2010,2,45679.329,189209.149,4949,60313.325,2010.1
AK,2010.3,2010,3,32820.987,187652.794,6054,60313.325,2010.1
AK,2010.4,2010,4,46327.795,185141.436,4911,60313.325,2010.1
AK,2011.1,2011,1,57518.936,182347.047,4207,60313.325,2010.1
AK,2011.2,2011,2,41317.144,177984.862,5322,60313.325,2010.1
AK,2011.3,2011,3,29694.777,174858.652,6333,60313.325,2010.1
AK,2011.4,2011,4,42785.027,171315.884,5192,60313.325,2010.1
AK,2012.1,2012,1,53078.298,166875.246,4476,60313.325,2010.1
AK,2012.2,2012,2,37923.808,163481.91,5616,60313.325,2010.1
AK,2012.3,2012,3,27576.976,161364.109,6566,60313.325,2010.1
AK,2012.4,2012,4,41084.749,159663.831,5345,60313.325,2010.1
AK,2013.1,2013,1,53061.71,159647.243,4478,60313.325,2010.1
AK,2013.2,2013,2,39414.877,161138.312,5507,60313.325,2010.1
AK,2013.3,2013,3,27117.415,160678.751,6606,60313.325,2010.1
AK,2013.4,2013,4,42310.155,161904.157,5234,60313.325,2010.1
AK,2014.1,2014,1,46045.883,154888.33,4931,60313.325,2010.1
AK,2014.2,2014,2,36269.491,151742.944,5774,60313.325,2010.1
AK,2014.3,2014,3,26327.492,150953.021,6686,60313.325,2010.1
AK,2014.4,2014,4,32295.973,140938.839,6105,60313.325,2010.1
AK,2015.1,2015,1,36738.137,131631.093,5728,60313.325,2010.1
AK,2015.2,2015,2,29983.612,125345.214,6311,60313.325,2010.1
AK,2015.3,2015,3,20072.66,119090.382,7344,60313.325,2010.1
AK,2015.4,2015,4,33028,119822.409,6040,60313.325,2010.1
AK,2016.1,2016,1,43289.901,126374.173,5148,60313.325,2010.1
AK,2016.2,2016,2,32471.561,128862.122,6087,60313.325,2010.1
AK,2016.3,2016,3,23897.445,132686.907,6930,60313.325,2010.1
AK,2016.4,2016,4,33356.766,133015.673,6007,60313.325,2010.1
AK,2017.1,2017,1,41234.312,130960.084,5328,60313.325,2010.1
AK,2017.2,2017,2,27576.831,126065.354,6567,60313.325,2010.1
AK,2017.3,2017,3,18310.43,120478.339,7560,60313.325,2010.1
AK,2017.4,2017,4,26998.617,114120.19,6621,60313.325,2010.1
AK,2018.1,2018,1,34084.956,106970.834,5935,60313.325,2010.1
AL,1971.1,1971,1,11592.789,11592.789,8404,179607.386,2009.2
AL,1971.2,1971,2,9157.869,20750.658,8744,179607.386,2009.2
AL,1971.3,1971,3,10105.063,30855.721,8597,179607.386,2009.2
AL,1971.4,1971,4,11680.004,42535.725,8392,179607.386,2009.2
AL,1972.1,1972,1,13656.553,44599.489,8166,179607.386,2009.2
AL,1972.2,1972,2,10210.711,45652.331,8583,179607.386,2009.2
AL,1972.3,1972,3,8388.989,43936.257,8846,179607.386,2009.2
AL,1972.4,1972,4,7766.377,40022.63,8930,179607.386,2009.2
AL,1973.1,1973,1,10499.562,36865.639,8549,179607.386,2009.2
AL,1973.2,1973,2,7911.354,34566.282,8911,179607.386,2009.2
AL,1973.3,1973,3,7539.731,33717.024,8964,179607.386,2009.2
AL,1973.4,1973,4,7754.053,33704.7,8934,179607.386,2009.2
AL,1974.1,1974,1,13420.022,36625.16,8195,179607.386,2009.2
AL,1974.2,1974,2,10598.639,39312.445,8530,179607.386,2009.2
AL,1974.3,1974,3,11934.583,43707.297,8368,179607.386,2009.2
AL,1974.4,1974,4,19267.222,55220.466,7443,179607.386,2009.2
AL,1975.1,1975,1,43292.689,85093.133,5147,179607.386,2009.2
AL,1975.2,1975,2,42988.352,117482.846,5182,179607.386,2009.2
AL,1975.3,1975,3,33700.975,139249.238,5971,179607.386,2009.2
AL,1975.4,1975,4,28798.532,148780.548,6435,179607.386,2009.2
AL,1976.1,1976,1,33000.455,138488.314,6042,179607.386,2009.2
AL,1976.2,1976,2,26331.524,121831.486,6683,179607.386,2009.2
AL,1976.3,1976,3,26347.773,114478.284,6682,179607.386,2009.2
AL,1976.4,1976,4,27000.2,112679.952,6620,179607.386,2009.2
AL,1977.1,1977,1,37803.482,117482.979,5631,179607.386,2009.2
AL,1977.2,1977,2,23896.539,115047.994,6931,179607.386,2009.2
AL,1977.3,1977,3,23978.466,112678.687,6920,179607.386,2009.2
AL,1977.4,1977,4,22980.646,108659.133,7029,179607.386,2009.2
AL,1978.1,1978,1,34476.27,105331.921,5901,179607.386,2009.2
AL,1978.2,1978,2,24751.535,106186.917,6847,179607.386,2009.2
AL,1978.3,1978,3,24696.695,106905.146,6853,179607.386,2009.2
AL,1978.4,1978,4,23544.797,107469.297,6980,179607.386,2009.2
AL,1979.1,1979,1,37384.402,110377.429,5662,179607.386,2009.2
AL,1979.2,1979,2,30469.624,116095.518,6268,179607.386,2009.2
AL,1979.3,1979,3,33058.676,124457.499,6037,179607.386,2009.2
AL,1979.4,1979,4,33258.699,134171.401,6019,179607.386,2009.2
AL,1980.1,1980,1,43339.763,140126.762,5143,179607.386,2009.2
AL,1980.2,1980,2,43944.729,153601.867,5085,179607.386,2009.2
AL,1980.3,1980,3,54938.37,175481.561,4356,179607.386,2009.2
AL,1980.4,1980,4,46162.837,188385.699,4923,179607.386,2009.2
AL,1981.1,1981,1,46616.076,191662.012,4887,179607.386,2009.2
AL,1981.2,1981,2,38449.667,186166.95,5585,179607.386,2009.2
AL,1981.3,1981,3,39906.326,171134.906,5458,179607.386,2009.2
AL,1981.4,1981,4,43745.723,168717.792,5099,179607.386,2009.2
AL,1982.1,1982,1,57395.648,179497.364,4215,179607.386,2009.2
AL,1982.2,1982,2,51831.163,192878.86,4543,179607.386,2009.2
AL,1982.3,1982,3,60665.932,213638.466,4056,179607.386,2009.2
AL,1982.4,1982,4,64067.858,233960.601,3910,179607.386,2009.2
AL,1983.1,1983,1,65382.384,241947.337,3852,179607.386,2009.2
AL,1983.2,1983,2,46318.667,236434.841,4913,179607.386,2009.2
AL,1983.3,1983,3,41955.97,217724.879,5260,179607.386,2009.2
AL,1983.4,1983,4,38190.023,191847.044,5600,179607.386,2009.2
AL,1984.1,1984,1,49913.704,176378.364,4664,179607.386,2009.2
AL,1984.2,1984,2,37185.304,167245.001,5688,179607.386,2009.2
AL,1984.3,1984,3,41356.466,166645.497,5319,179607.386,2009.2
AL,1984.4,1984,4,44123.984,172579.458,5065,179607.386,2009.2
AL,1985.1,1985,1,53769.192,176434.946,4430,179607.386,2009.2
AL,1985.2,1985,2,39496.394,178746.036,5499,179607.386,2009.2
AL,1985.3,1985,3,39897.239,177286.809,5459,179607.386,2009.2
AL,1985.4,1985,4,39735.725,172898.55,5475,179607.386,2009.2
AL,1986.1,1986,1,51294.238,170423.596,4575,179607.386,2009.2
AL,1986.2,1986,2,44266.748,175193.95,5050,179607.386,2009.2
AL,1986.3,1986,3,44931.362,180228.073,5006,179607.386,2009.2
AL,1986.4,1986,4,46320.614,186812.962,4912,179607.386,2009.2
AL,1987.1,1987,1,53816.584,189335.308,4426,179607.386,2009.2
AL,1987.2,1987,2,38137.562,183206.122,5603,179607.386,2009.2
AL,1987.3,1987,3,38891.931,177166.691,5551,179607.386,2009.2
AL,1987.4,1987,4,35097.565,165943.642,5853,179607.386,2009.2
AL,1988.1,1988,1,42543.738,154670.796,5215,179607.386,2009.2
AL,1988.2,1988,2,31019.71,147552.944,6223,179607.386,2009.2
AL,1988.3,1988,3,33758.153,142419.166,5965,179607.386,2009.2
AL,1988.4,1988,4,33309.408,140631.009,6013,179607.386,2009.2
AL,1989.1,1989,1,45382.974,143470.245,4972,179607.386,2009.2
AL,1989.2,1989,2,35539.896,147990.431,5833,179607.386,2009.2
AL,1989.3,1989,3,38218.63,152450.908,5599,179607.386,2009.2
AL,1989.4,1989,4,36680.012,155821.512,5734,179607.386,2009.2
AL,1990.1,1990,1,52648.759,163087.297,4502,179607.386,2009.2
AL,1990.2,1990,2,40601.477,168148.878,5381,179607.386,2009.2
AL,1990.3,1990,3,42856.498,172786.746,5187,179607.386,2009.2
AL,1990.4,1990,4,46146.977,182253.711,4924,179607.386,2009.2
AL,1991.1,1991,1,67715.991,197320.943,3765,179607.386,2009.2
AL,1991.2,1991,2,54902.678,211622.144,4359,179607.386,2009.2
AL,1991.3,1991,3,50099.211,218864.857,4655,179607.386,2009.2
AL,1991.4,1991,4,48174.517,220892.397,4773,179607.386,2009.2
AL,1992.1,1992,1,64689.193,217865.599,3889,179607.386,2009.2
AL,1992.2,1992,2,51184.843,214147.764,4584,179607.386,2009.2
AL,1992.3,1992,3,50498.911,214547.464,4633,179607.386,2009.2
AL,1992.4,1992,4,42189.191,208562.138,5243,179607.386,2009.2
AL,1993.1,1993,1,52521.21,196394.155,4513,179607.386,2009.2
AL,1993.2,1993,2,43696.835,188906.147,5104,179607.386,2009.2
AL,1993.3,1993,3,48723.488,187130.724,4728,179607.386,2009.2
AL,1993.4,1993,4,44008.358,188949.891,5074,179607.386,2009.2
AL,1994.1,1994,1,57076.018,193504.699,4239,179607.386,2009.2
AL,1994.2,1994,2,41184.069,190991.933,5333,179607.386,2009.2
AL,1994.3,1994,3,42756.376,185024.821,5196,179607.386,2009.2
AL,1994.4,1994,4,37524.903,178541.366,5650,179607.386,2009.2
AL,1995.1,1995,1,47762.875,169228.223,4805,179607.386,2009.2
AL,1995.2,1995,2,40867.969,168912.123,5359,179607.386,2009.2
AL,1995.3,1995,3,48492.293,174648.04,4742,179607.386,2009.2
AL,1995.4,1995,4,47332.155,184455.292,4827,179607.386,2009.2
AL,1996.1,1996,1,62707.466,199399.883,3965,179607.386,2009.2
AL,1996.2,1996,2,51881.837,210413.751,4540,179607.386,2009.2
AL,1996.3,1996,3,51002.194,212923.652,4598,179607.386,2009.2
AL,1996.4,1996,4,46762.952,212354.449,4877,179607.386,2009.2
AL,1997.1,1997,1,56149.927,205796.91,4287,179607.386,2009.2
AL,1997.2,1997,2,45648.395,199563.468,4952,179607.386,2009.2
AL,1997.3,1997,3,48390.832,196952.106,4753,179607.386,2009.2
AL,1997.4,1997,4,44459.418,194648.572,5037,179607.386,2009.2
AL,1998.1,1998,1,57221.415,195720.06,4229,179607.386,2009.2
AL,1998.2,1998,2,48591.581,198663.246,4734,179607.386,2009.2
AL,1998.3,1998,3,52207.969,202480.383,4527,179607.386,2009.2
AL,1998.4,1998,4,48395.128,206416.093,4751,179607.386,2009.2
AL,1999.1,1999,1,54166.852,203361.53,4410,179607.386,2009.2
AL,1999.2,1999,2,46262.414,201032.363,4918,179607.386,2009.2
AL,1999.3,1999,3,50383.319,199207.713,4643,179607.386,2009.2
AL,1999.4,1999,4,46434.01,197246.595,4901,179607.386,2009.2
AL,2000.1,2000,1,54950.742,198030.485,4353,179607.386,2009.2
AL,2000.2,2000,2,44923.627,196691.698,5008,179607.386,2009.2
AL,2000.3,2000,3,52024.896,198333.275,4534,179607.386,2009.2
AL,2000.4,2000,4,56744.824,208644.089,4256,179607.386,2009.2
AL,2001.1,2001,1,74280.797,227974.144,3531,179607.386,2009.2
AL,2001.2,2001,2,69306.504,252357.021,3701,179607.386,2009.2
AL,2001.3,2001,3,70167.091,270499.216,3676,179607.386,2009.2
AL,2001.4,2001,4,76885.152,290639.544,3429,179607.386,2009.2
AL,2002.1,2002,1,87642.104,304000.851,3102,179607.386,2009.2
AL,2002.2,2002,2,76403.221,311097.568,3445,179607.386,2009.2
AL,2002.3,2002,3,74264.419,315194.896,3534,179607.386,2009.2
AL,2002.4,2002,4,76203.493,314513.237,3455,179607.386,2009.2
AL,2003.1,2003,1,79850.131,306721.264,3325,179607.386,2009.2
AL,2003.2,2003,2,77235.073,307553.116,3420,179607.386,2009.2
AL,2003.3,2003,3,81698.426,314987.123,3264,179607.386,2009.2
AL,2003.4,2003,4,69076.802,307860.432,3708,179607.386,2009.2
AL,2004.1,2004,1,71925.975,299936.276,3612,179607.386,2009.2
AL,2004.2,2004,2,59553.895,282255.098,4113,179607.386,2009.2
AL,2004.3,2004,3,58557.355,259114.027,4156,179607.386,2009.2
AL,2004.4,2004,4,56219.907,246257.132,4285,179607.386,2009.2
AL,2005.1,2005,1,58130.741,232461.898,4173,179607.386,2009.2
AL,2005.2,2005,2,52800.044,225708.047,4493,179607.386,2009.2
AL,2005.3,2005,3,58941.003,226091.695,4137,179607.386,2009.2
AL,2005.4,2005,4,50842.979,220714.767,4606,179607.386,2009.2
AL,2006.1,2006,1,53360.068,215944.094,4467,179607.386,2009.2
AL,2006.2,2006,2,49605.746,212749.796,4679,179607.386,2009.2
AL,2006.3,2006,3,55283.423,209092.216,4332,179607.386,2009.2
AL,2006.4,2006,4,54857.244,213106.481,4363,179607.386,2009.2
AL,2007.1,2007,1,59905.444,219651.857,4096,179607.386,2009.2
AL,2007.2,2007,2,53053.455,223099.566,4479,179607.386,2009.2
AL,2007.3,2007,3,57895.458,225711.601,4186,179607.386,2009.2
AL,2007.4,2007,4,55590.521,226444.878,4316,179607.386,2009.2
AL,2008.1,2008,1,66599.222,233138.656,3804,179607.386,2009.2
AL,2008.2,2008,2,68528.442,248613.643,3728,179607.386,2009.2
AL,2008.3,2008,3,81847.957,272566.142,3260,179607.386,2009.2
AL,2008.4,2008,4,104622.071,321597.692,2738,179607.386,2009.2
AL,2009.1,2009,1,169641.146,424639.616,1892,179607.386,2009.2
AL,2009.2,2009,2,179607.386,535718.56,1789,179607.386,2009.2
AL,2009.3,2009,3,166526.735,620397.338,1921,179607.386,2009.2
AL,2009.4,2009,4,145445.962,661221.229,2186,179607.386,2009.2
AL,2010.1,2010,1,146044.596,637624.679,2182,179607.386,2009.2
AL,2010.2,2010,2,117543.805,575561.098,2556,179607.386,2009.2
AL,2010.3,2010,3,105019.148,514053.511,2727,179607.386,2009.2
AL,2010.4,2010,4,102876.237,471483.786,2770,179607.386,2009.2
AL,2011.1,2011,1,107766.073,433205.263,2688,179607.386,2009.2
AL,2011.2,2011,2,92912.356,408573.814,2975,179607.386,2009.2
AL,2011.3,2011,3,94222.496,397777.162,2946,179607.386,2009.2
AL,2011.4,2011,4,84186.248,379087.173,3199,179607.386,2009.2
AL,2012.1,2012,1,86431.181,357752.281,3131,179607.386,2009.2
AL,2012.2,2012,2,74531.025,339370.95,3522,179607.386,2009.2
AL,2012.3,2012,3,74458.74,319607.194,3527,179607.386,2009.2
AL,2012.4,2012,4,67315.067,302736.013,3778,179607.386,2009.2
AL,2013.1,2013,1,73421.861,289726.693,3558,179607.386,2009.2
AL,2013.2,2013,2,67459.409,282655.077,3775,179607.386,2009.2
AL,2013.3,2013,3,70842.697,279039.034,3646,179607.386,2009.2
AL,2013.4,2013,4,69849.726,281573.693,3689,179607.386,2009.2
AL,2014.1,2014,1,64687.941,272839.773,3890,179607.386,2009.2
AL,2014.2,2014,2,60473.885,265854.249,4066,179607.386,2009.2
AL,2014.3,2014,3,62649.176,257660.728,3969,179607.386,2009.2
AL,2014.4,2014,4,52630.359,240441.361,4504,179607.386,2009.2
AL,2015.1,2015,1,53530.214,229283.634,4452,179607.386,2009.2
AL,2015.2,2015,2,49736.852,218546.601,4671,179607.386,2009.2
AL,2015.3,2015,3,50430.755,206328.18,4640,179607.386,2009.2
AL,2015.4,2015,4,47309.44,201007.261,4831,179607.386,2009.2
AL,2016.1,2016,1,50487.299,197964.346,4634,179607.386,2009.2
AL,2016.2,2016,2,45507.68,193735.174,4965,179607.386,2009.2
AL,2016.3,2016,3,47846.994,191151.413,4796,179607.386,2009.2
AL,2016.4,2016,4,42645.101,186487.074,5207,179607.386,2009.2
AL,2017.1,2017,1,44006.84,180006.615,5075,179607.386,2009.2
AL,2017.2,2017,2,39327.423,173826.358,5512,179607.386,2009.2
AL,2017.3,2017,3,41809.721,167789.085,5273,179607.386,2009.2
AL,2017.4,2017,4,37368.537,162512.521,5665,179607.386,2009.2
AL,2018.1,2018,1,40268.51,158774.191,5418,179607.386,2009.2
AR,1971.1,1971,1,8497.688,8497.688,8826,169355.036,2009.2
AR,1971.2,1971,2,5473.026,13970.714,9258,169355.036,2009.2
AR,1971.3,1971,3,4135.317,18106.031,9493,169355.036,2009.2
AR,1971.4,1971,4,4984.631,23090.662,9344,169355.036,2009.2
AR,1972.1,1972,1,7534.91,22127.884,8968,169355.036,2009.2
AR,1972.2,1972,2,4582.443,21237.301,9416,169355.036,2009.2
AR,1972.3,1972,3,3532.154,20634.138,9592,169355.036,2009.2
