st,CYQ,year,quarter,CYQ_Total_Wages,staxemp,CYQ_Taxable_Wages,AWW
AK,1997.2,1997,2,1926010.013,1421321.826,542201.369,614.6485383
AK,1997.3,1997,3,1816241.106,1325415.787,1241276.233,613.4510195
AK,1997.4,1997,4,2007960.382,1454767.224,1089684.951,616.0956479
AK,1998.1,1998,1,2068666.097,1650488.924,939882.379,619.1588271
AK,1998.2,1998,2,2020591.41,1513217.576,583177.987,623.0426428
AK,1998.3,1998,3,1926549.681,1429756.373,1329351.127,626.418104
AK,1998.4,1998,4,2082089.376,1527795.471,1121649.131,628.8019643
AK,1999.1,1999,1,2128543.692,1716125.572,957136.639,630.880528
AK,1999.2,1999,2,2118863.81,1601946.901,585147.85,635.1605348
AK,1999.3,1999,3,1929467.26,1437508.023,1339071.102,634.4351231
AK,1999.4,1999,4,2112908.284,1550787.903,1148482.479,635.5522389
AK,2000.1,2000,1,2185063.341,1767991.317,1016563.41,638.130687
AK,2000.2,2000,2,2154071.168,1630771.798,611920.759,639.6539693
AK,2000.3,2000,3,2081993.184,1566448.573,1441550.463,648.0142007
AK,2000.4,2000,4,2222559.732,1660417.46,1247140.083,652.1923688
AK,2001.1,2001,1,2324072.101,1865101.271,1065976.237,657.5066367
AK,2001.2,2001,2,2227272.359,1695553.198,637221.151,658.8209851
AK,2001.3,2001,3,2176462.356,1646956.115,1526073.172,661.2635311
AK,2001.4,2001,4,2383412.663,1792968.106,1302260.315,667.0686709
AK,2002.1,2002,1,2470704.196,1994349.932,1098396.874,672.6644263
AK,2002.2,2002,2,2360368.848,1802479.394,639805.278,678.2999419
AK,2002.3,2002,3,2289393.16,1733681.553,1601534.118,683.261825
AK,2002.4,2002,4,2448411.116,1826845.794,1337899.433,686.2133967
AK,2003.1,2003,1,2561626.297,2048777.538,1120460.527,688.4253078
AK,2003.2,2003,2,2488202.759,1892074.663,663390.538,694.2271257
AK,2003.3,2003,3,2341621.431,1751810.241,1631762.843,694.6986898
AK,2003.4,2003,4,2543119.867,1886891.07,1393588.477,698.3879268
AK,2004.1,2004,1,2663415.236,2140900.637,1164868.237,704.5764232
AK,2004.2,2004,2,2549672.801,1951722.962,685294.371,706.9253133
AK,2004.3,2004,3,2439152.365,1846196.557,1703975.96,712.0547105
AK,2004.4,2004,4,2608816.676,1959985.39,1446553.89,714.6847059
AK,2005.1,2005,1,2799817.841,2266806.691,1256509.232,719.8818664
AK,2005.2,2005,2,2733771.943,2094949.407,724581.797,729.0773951
AK,2005.3,2005,3,2516274.654,1914178.988,1768708.453,730.2943515
AK,2005.4,2005,4,2765336.262,2086712.711,1555657.506,736.1655817
AK,2006.1,2006,1,3043577.535,2473110.592,1359743.284,747.9783676
AK,2006.2,2006,2,2820131.525,2149311.053,754596.384,750.8425583
AK,2006.3,2006,3,2747693.712,2112828.55,1944601.443,763.0827071
AK,2006.4,2006,4,2969825.627,2258391.846,1628174.837,771.3479814
AK,2007.1,2007,1,3093366.498,2512467.518,1348173.8,771.5649878
AK,2007.2,2007,2,3018110.169,2329450.106,803558.3,781.8764304
AK,2007.3,2007,3,2939027.644,2283591.176,2086232.206,791.6411012
AK,2007.4,2007,4,3157678.837,2417571.171,1718559.903,802.8189219
AK,2008.1,2008,1,3288077.551,2692624.98,1427284.169,813.4473311
AK,2008.2,2008,2,3190945.91,2490397.59,843595.266,822.6197786
AK,2008.3,2008,3,3112644.383,2437617.347,2206432.269,831.5300174
AK,2008.4,2008,4,3308048.878,2545376.177,1793897.325,838.1430191
AK,2009.1,2009,1,3499413.779,2865201.753,1503325.796,847.995741
AK,2009.2,2009,2,3423397.006,2666443.618,891695.818,859.9557365
AK,2009.3,2009,3,3218941.808,2489830.042,2274547.489,865.5228257
AK,2009.4,2009,4,3408326.591,2594770.107,1822195.17,874.1676382
AK,2010.1,2010,1,3509837.399,2841769.113,1479929.986,877.5330177
AK,2010.2,2010,2,3526737.659,2712284.346,877418.983,885.4875621
AK,2010.3,2010,3,3180410.418,2433822.644,2223752.995,883.2204512
AK,2010.4,2010,4,3498859.283,2637985.124,1920800.052,888.1579068
AK,2011.1,2011,1,3695437.938,2986077.668,1612914.953,897.7406217
AK,2011.2,2011,2,3687596.021,2839328.01,960752.735,904.4815934
AK,2011.3,2011,3,3360149.797,2582004.745,2346796.585,911.8413101
AK,2011.4,2011,4,3649146.86,2754446.957,1975232.226,916.7554949
AK,2012.1,2012,1,3946301.333,3191176.443,1689111.824,927.2296774
AK,2012.2,2012,2,3721630.514,2864126.903,953302.864,925.5160366
AK,2012.3,2012,3,3659718.735,2825233.459,2557358.874,940.0714659
AK,2012.4,2012,4,3808740.778,2908340.627,2067637.366,944.6147406
AK,2013.1,2013,1,4001415.242,3232343.976,1693271.952,943.566071
AK,2013.2,2013,2,3896674.508,3028625.758,1007962.822,950.3154348
AK,2013.3,2013,3,3755345.062,2900551.938,2641816.627,954.0126686
AK,2013.4,2013,4,3903668.454,2976755.256,2121591.942,958.206489
AK,2014.1,2014,1,4169034.503,3374727.29,1794277.24,966.2212627
AK,2014.2,2014,2,3993933.177,3102380.013,1050582.324,971.9481973
AK,2014.3,2014,3,3925689.581,3016997.688,2713216.366,980.4386316
AK,2014.4,2014,4,4105730.757,3115430.805,2175605.794,989.8601373
AK,2015.1,2015,1,4283302.777,3441688.283,1784341.887,996.6070581
AK,2015.2,2015,2,4184464.655,3232689.97,1070985.401,1006.594173
AK,2015.3,2015,3,4064895.835,3103933.329,2786943.241,1012.084077
AK,2015.4,2015,4,4249406.204,3207664.694,2250815.572,1019.047553
AK,2016.1,2016,1,4397994.165,3512487.688,1870750.135,1024.998865
AK,2016.2,2016,2,4295285.774,3261780.873,1093438.921,1032.589602
AK,2016.3,2016,3,3907427.747,2954909.399,2676628.517,1026.062036
AK,2016.4,2016,4,4105872.922,3034924.637,2231657.801,1021.582839
AK,2017.1,2017,1,4342397.68,3416660.713,1884949.451,1024.344059
AK,2017.2,2017,2,3960493.172,2931306.559,1044065.159,1008.817186
AK,2017.3,2017,3,3929054.015,2967942.282,2679861.269,1015.170928
AK,2017.4,2017,4,4005926.088,2946771.304,2170554.862,1012.887878
AK,2018.1,2018,1,4190846.959,3317167.472,1845953.98,1005.673838
AL,1971.1,1971,1,NA,NA,NA,NA
AL,1971.2,1971,2,NA,NA,NA,NA
AL,1971.3,1971,3,NA,NA,NA,NA
AL,1971.4,1971,4,NA,NA,NA,NA
AL,1972.1,1972,1,NA,NA,NA,NA
AL,1972.2,1972,2,NA,NA,NA,NA
AL,1972.3,1972,3,NA,NA,NA,NA
AL,1972.4,1972,4,NA,NA,NA,NA
AL,1973.1,1973,1,NA,NA,NA,NA
AL,1973.2,1973,2,NA,NA,NA,NA
AL,1973.3,1973,3,NA,NA,NA,NA
AL,1973.4,1973,4,NA,NA,NA,NA
AL,1974.1,1974,1,NA,NA,NA,NA
AL,1974.2,1974,2,NA,NA,NA,NA
AL,1974.3,1974,3,1720399.118,1635941.866,1526086.098,36.43381313
AL,1974.4,1974,4,1827731.858,1742483.962,1102091.235,74.0830324
AL,1975.1,1975,1,1874132.045,1782842.433,662316.636,112.3236648
AL,1975.2,1975,2,1945822.746,1850054.128,460970.582,152.6476469
AL,1975.3,1975,3,1825263.883,1727959.53,1579319.323,155.850229
AL,1975.4,1975,4,1882574.135,1783561.59,1041910.385,158.6510615
AL,1976.1,1976,1,1977513.392,1873659.205,636374.5,161.7281642
AL,1976.2,1976,2,2122837.844,2013504.892,468856.284,165.2675689
AL,1976.3,1976,3,2070122.368,1957556.233,1812982.573,168.4455399
AL,1976.4,1976,4,2175542.301,2060226.385,1264176.91,171.9253929
AL,1977.1,1977,1,2251566.3,2129309.269,776269.331,175.4565449
AL,1977.2,1977,2,2429317.737,2305526.275,551572.061,179.7646848
AL,1977.3,1977,3,2263151.882,2143539.68,1954564.458,182.0099478
AL,1977.4,1977,4,2471336.098,2353627.886,1386488.062,185.311728
AL,1978.1,1978,1,2604762.445,2467639.324,829495.292,189.3706725
AL,1978.2,1978,2,2702221.013,2563362.585,579208.124,191.9899026
AL,1978.3,1978,3,2985274.565,2464483.311,2306156.901,194.8218674
AL,1978.4,1978,4,3243226.166,2706842.442,1887626.876,197.9511074
AL,1979.1,1979,1,3295877.155,2770037.364,1202721.102,199.8380926
AL,1979.2,1979,2,3526524.708,2938213.512,867656.299,203.0521022
AL,1979.3,1979,3,3455854.144,2870649.374,2651349.002,207.9580029
AL,1979.4,1979,4,3586765.072,2981925.189,1895547.327,212.1160938
AL,1980.1,1980,1,3603057.483,3008666.567,1142520.449,216.3680931
AL,1980.2,1980,2,3878890.227,3232767.328,835306.521,221.3999741
AL,1980.3,1980,3,3807460.311,3150555.318,2880116.814,226.2201852
AL,1980.4,1980,4,3869141.677,3218407.305,1879011.589,230.816277
AL,1981.1,1981,1,3818853.693,3168698.022,1078885.123,235.1329784
AL,1981.2,1981,2,4212498.694,3469322.171,772122.679,240.9910261
AL,1981.3,1981,3,4032797.513,3319387.178,2988229.482,245.0117702
AL,1981.4,1981,4,4181155.102,3459888.214,1913029.369,250.1843583
AL,1982.1,1982,1,4256127.054,3556352.716,1104024.467,256.272437
AL,1982.2,1982,2,4476548.027,3709467.58,750178.333,260.9836046
AL,1982.3,1982,3,4162728.185,3431527.381,3028256.776,264.6722102
AL,1982.4,1982,4,4345505.462,3591107.422,1844710.524,268.5479974
AL,1983.1,1983,1,4358353.392,3597151.403,1020166.606,272.7092923
AL,1983.2,1983,2,4547849.854,3707316.209,664050.145,276.0994368
AL,1983.3,1983,3,4340973.542,3526258.371,3174726.073,280.1706282
AL,1983.4,1983,4,4562313.809,3724558.356,2180782.066,283.8113548
AL,1984.1,1984,1,4771785.229,3924775.127,1360660.158,288.3346201
AL,1984.2,1984,2,4889575.269,4035156.694,931611.207,290.4414015
AL,1984.3,1984,3,4903253.196,4024208.434,3571501.262,295.3095991
AL,1984.4,1984,4,5025003.95,4173936.919,2278234.807,298.3640625
AL,1985.1,1985,1,5074123.239,4198513.291,1350881.557,299.5829422
AL,1985.2,1985,2,5313037.661,4383551.217,952925.981,302.932658
AL,1985.3,1985,3,5281817.77,4302067.507,3776107.611,306.0398423
AL,1985.4,1985,4,5461845.872,4512597.884,2362551.136,310.1636644
AL,1986.1,1986,1,5504004.449,4522857.884,1380431.507,314.1621124
AL,1986.2,1986,2,5793999.67,4763593.761,994159.045,318.6977653
AL,1986.3,1986,3,5748758.044,4679140.393,4057618.583,322.5192532
AL,1986.4,1986,4,5821699.337,4784903.951,2429936.153,325.3502328
AL,1987.1,1987,1,5851381.621,4807726.722,1409194.58,328.377922
AL,1987.2,1987,2,6118716.564,5061546.949,1001679.1,331.2714014
AL,1987.3,1987,3,6001872.281,4923300.785,4162807.729,333.366961
AL,1987.4,1987,4,6152883.463,5090668.457,2514176.768,335.5631777
AL,1988.1,1988,1,6281729.638,5202024.444,1469816.337,338.1343976
AL,1988.2,1988,2,6805902.748,5651248.347,1086517.749,343.8837081
AL,1988.3,1988,3,6402343.765,5286091.409,4444877.063,345.8581612
AL,1988.4,1988,4,6610455.261,5475508.702,2590967.16,348.8108308
AL,1989.1,1989,1,6843439.411,5656524.158,1509067.953,353.5957044
AL,1989.2,1989,2,7249243.746,6002906.101,1090723.34,357.0084985
AL,1989.3,1989,3,6886277.988,5642740.503,4742937.405,360.4498578
AL,1989.4,1989,4,7126167.59,5872635.648,2622393.69,364.7544158
AL,1990.1,1990,1,7133876.978,5887105.997,1506419.025,366.0753657
AL,1990.2,1990,2,7655893.629,6346068.829,1110776.07,368.7887304
AL,1990.3,1990,3,7345461.52,6034927.48,5003247.652,372.6533478
AL,1990.4,1990,4,7584441.148,6245800.816,2716587.827,375.9684983
AL,1991.1,1991,1,7596219.043,6256212.009,1503830.737,379.7924227
AL,1991.2,1991,2,8211883.673,6739083.885,1104031.049,384.9937072
AL,1991.3,1991,3,7667139.891,6207037.628,5099498.011,388.2506623
AL,1991.4,1991,4,7900289.302,6423509.494,2687637.427,392.0919599
AL,1992.1,1992,1,7972753.444,6495296.742,1503519.673,396.297555
AL,1992.2,1992,2,8576352.068,7055707.864,1099325.693,400.1143851
AL,1992.3,1992,3,8112499.871,6583215.264,5319077.72,404.1075325
AL,1992.4,1992,4,8312894.057,6774835.584,2705550.15,407.1195863
AL,1993.1,1993,1,8470636.784,6926772.815,1524535.948,411.1793106
AL,1993.2,1993,2,9471532.528,7832351.975,1159839.341,419.2423976
AL,1993.3,1993,3,8343096.596,6761816.063,5442404.91,419.0821188
AL,1993.4,1993,4,8803563.255,7187833.602,2840120.578,421.8765266
AL,1994.1,1994,1,8981252.867,7346164.044,1580270.424,425.0485192
AL,1994.2,1994,2,9883754.621,8135676.714,1207725.576,427.4874112
AL,1994.3,1994,3,8906292.867,7240455.657,5716041.328,432.1714828
AL,1994.4,1994,4,9277139.63,7549876.587,2882209.36,435.6571498
AL,1995.1,1995,1,9722385.258,7933915.176,1680992.554,441.5781147
AL,1995.2,1995,2,10258246.56,8454298.067,1262786.994,442.9144567
AL,1995.3,1995,3,9892977.334,8058889.109,6194586.855,450.3170376
AL,1995.4,1995,4,9936004.834,8134200.899,2924702.002,454.2074524
AL,1996.1,1996,1,10044696.39,8219230.311,1627459.26,454.9669937
AL,1996.2,1996,2,10732082.3,8885536.037,1296488.479,457.810886
AL,1996.3,1996,3,10273070.27,8392889.355,6336390.761,460.4745084
AL,1996.4,1996,4,10403524.31,8556697.467,2966784.25,464.2543161
AL,1997.1,1997,1,10544351.47,8651381.535,1678038.681,468.1415862
AL,1997.2,1997,2,11415225.36,9497047.58,1367013.084,473.7153208
AL,1997.3,1997,3,10933342.08,8984875.956,6664758.292,478.6615728
AL,1997.4,1997,4,10956263.19,9028242.38,3048423.461,482.0257872
AL,1998.1,1998,1,11174414.47,9204264.798,1700199.667,486.5479897
AL,1998.2,1998,2,12207300.37,10162720.23,1411269.185,492.9181059
AL,1998.3,1998,3,11406395.64,9432551.041,6902463.589,495.6656662
AL,1998.4,1998,4,11597530.52,9600698.52,3097689.367,499.7358176
AL,1999.1,1999,1,11746341.37,9678182.863,1744082.63,503.4703179
AL,1999.2,1999,2,13021382.89,10764182.46,1456227.48,510.2142107
AL,1999.3,1999,3,11817707.76,9700564.483,7059326.977,513.1947436
AL,1999.4,1999,4,12170815.54,10004248.46,3105950.887,518.4673169
AL,2000.1,2000,1,12544752.25,10310656.45,1775381.288,525.5187919
AL,2000.2,2000,2,13704824.89,11375648.76,1498900.153,531.4824199
AL,2000.3,2000,3,12841997.26,10594074.92,7509543.705,541.0964258
AL,2000.4,2000,4,12758854.05,10479846.68,2986822.674,546.7797182
AL,2001.1,2001,1,12727302.48,10444658.07,1711121.911,548.2328603
AL,2001.2,2001,2,13736571.01,11343903.07,1417739.358,548.7482624
AL,2001.3,2001,3,13186426.4,10820502.86,7560568.936,553.2086768
AL,2001.4,2001,4,13114781.07,10722571.67,2888289.133,558.0197923
AL,2002.1,2002,1,13079907.12,10699833.07,1600370.822,563.9028568
AL,2002.2,2002,2,13942964.66,11477710.78,1301070.591,568.7516491
AL,2002.3,2002,3,13268297.79,10846413.41,7481106.383,572.2801213
AL,2002.4,2002,4,13300482.67,10844479.55,2769715.198,576.7134449
AL,2003.1,2003,1,13359181.73,10891983.41,1566754.841,581.4409513
AL,2003.2,2003,2,14400443.58,11806529.15,1301469.991,587.1920604
AL,2003.3,2003,3,13743565.46,11206916.46,7543019.809,592.6740197
AL,2003.4,2003,4,13596195.88,11033739.78,2702163.241,596.5961812
AL,2004.1,2004,1,13679183.87,11111445.75,1507901.248,600.8694444
AL,2004.2,2004,2,14962878.66,12315098.91,1311485.783,607.1287134
AL,2004.3,2004,3,14119556.57,11546397.69,7660578.236,610.2048084
AL,2004.4,2004,4,14179688.04,11567896.47,2777870.092,614.198219
AL,2005.1,2005,1,14442594.33,11812037.39,1613382.869,619.4708304
AL,2005.2,2005,2,16203294.51,13388535.28,1408367.172,629.4705141
AL,2005.3,2005,3,14736155.39,12140052.89,7908085.472,632.7071606
AL,2005.4,2005,4,15129423.71,12412034.66,2874615.562,639.0906154
AL,2006.1,2006,1,15701145.5,12904624.76,1743001.558,648.562212
AL,2006.2,2006,2,16868270.76,13939420.9,1541840.268,651.4194205
AL,2006.3,2006,3,16321584.66,13518562.13,8442091.642,663.841897
AL,2006.4,2006,4,16149934.76,13223373.39,2789213.079,671.0495594
AL,2007.1,2007,1,16283940.13,13385600.12,1684511.616,674.2339212
AL,2007.2,2007,2,17809379.71,14659381,1452023.095,682.1302139
AL,2007.3,2007,3,17184176.13,14138223.14,8649093.575,688.4423616
AL,2007.4,2007,4,16912396.48,13824356.7,2789121.709,694.1991406
AL,2008.1,2008,1,17010270.25,13927333.01,1696881.505,699.697906
AL,2008.2,2008,2,18624834.57,15242663.96,1498381.522,705.7103449
AL,2008.3,2008,3,17747113.49,14549192.94,8783031.345,711.125866
AL,2008.4,2008,4,17426968.75,14134316.91,2702980.929,716.5421742
AL,2009.1,2009,1,17527408.45,14209146.29,1567387.91,723.2933934
AL,2009.2,2009,2,18724005.73,15213917.45,1264743.144,729.0578569
AL,2009.3,2009,3,16780081.55,13536144.04,8236231.3,728.4256823
AL,2009.4,2009,4,16622670.48,13294943.5,2442044.119,731.4435595
AL,2010.1,2010,1,16616019.32,13309720.86,1306344.393,733.9603193
AL,2010.2,2010,2,18316975.13,14764457.24,1111217.317,740.1631671
AL,2010.3,2010,3,16179838.07,12985457.13,7939811.148,739.5866299
AL,2010.4,2010,4,16775569.03,13424881.46,2537599.294,743.7757253
AL,2011.1,2011,1,17194821.79,13825048.17,1463202.341,750.8884058
AL,2011.2,2011,2,18761562,15206277.27,1233839.014,755.3796617
AL,2011.3,2011,3,16878481.39,13655874.41,8071096.2,762.6138314
AL,2011.4,2011,4,17051740.34,13686947.16,2469180.049,765.5389976
AL,2012.1,2012,1,17879077.38,14428600.68,1478317.008,772.887303
AL,2012.2,2012,2,18588464.02,15049125.52,1199890.6,770.739596
AL,2012.3,2012,3,17954263.48,14575368.93,8353853.39,781.1194938
AL,2012.4,2012,4,17661693.99,14267667.67,2398757.732,785.991696
AL,2013.1,2013,1,17580722.41,14244409.35,1451798.618,781.175034
AL,2013.2,2013,2,19384226.37,15758071.14,1219062.834,787.5692081
AL,2013.3,2013,3,18251877.17,14884526.01,8496153.447,788.5240325
AL,2013.4,2013,4,18085084.37,14635123.77,2405822.133,791.057232
AL,2014.1,2014,1,18074235.64,14625922.16,1456624.931,794.3444117
AL,2014.2,2014,2,19551347.25,15900073.67,1255043.305,794.1798331
AL,2014.3,2014,3,18689224.4,15255537.37,8571763.096,797.5292898
AL,2014.4,2014,4,18553906.23,15034763.78,2452488.9,800.7127151
AL,2015.1,2015,1,18734047.97,15184619.24,1545673.328,805.2169379
AL,2015.2,2015,2,20542983.1,16785037.84,1347680.314,812.9749518
AL,2015.3,2015,3,19393240.04,15905823.42,8731881.238,817.4401655
AL,2015.4,2015,4,19149145.33,15573564.31,2537341.445,820.8059352
AL,2016.1,2016,1,19352129.42,15733396.46,1595484.351,824.1749389
AL,2016.2,2016,2,21596957.4,17706388.23,1424684.449,832.0146547
AL,2016.3,2016,3,19616719.53,16109391.31,8967636.625,831.061869
AL,2016.4,2016,4,19888519.07,16217633.14,2587109.102,835.6900057
AL,2017.1,2017,1,20571026.93,16747254.2,1657522.158,845.4789797
AL,2017.2,2017,2,21537287.8,17591228.2,1407719.975,842.9005768
AL,2017.3,2017,3,21145907.01,17352652.95,9320258.926,856.0014904
AL,2017.4,2017,4,20593730.92,16815463.7,2514433.021,861.0938312
AL,2018.1,2018,1,20528043.21,16738539.44,1635031.505,858.3663013
AR,1971.1,1971,1,NA,NA,NA,NA
AR,1971.2,1971,2,NA,NA,NA,NA
AR,1971.3,1971,3,NA,NA,NA,NA
AR,1971.4,1971,4,NA,NA,NA,NA
AR,1972.1,1972,1,NA,NA,NA,NA
AR,1972.2,1972,2,NA,NA,NA,NA
AR,1972.3,1972,3,NA,NA,NA,NA
AR,1972.4,1972,4,NA,NA,NA,NA
AR,1973.1,1973,1,NA,NA,NA,NA
AR,1973.2,1973,2,NA,NA,NA,NA
AR,1973.3,1973,3,NA,NA,NA,NA
AR,1973.4,1973,4,NA,NA,NA,NA
AR,1974.1,1974,1,NA,NA,NA,NA
AR,1974.2,1974,2,NA,NA,NA,NA
AR,1974.3,1974,3,892888.132,820357.418,772408.718,32.69998498
AR,1974.4,1974,4,954104.359,879494.449,631374.448,66.41614067
AR,1975.1,1975,1,982673.972,907893.998,414014.049,100.6753968
